"","Year","State","Sport","Girls Participation","Boys Participation","year_cleaned"
"14061","2003/2004","VT","Cross Country",460,549,2003
"14062","2003/2004","VT","Fencing",7,6,2003
"14063","2003/2004","VT","Ice/Field Hockey",1013,165,2003
"14064","2003/2004","VT","Football",49,1412,2003
"14065","2003/2004","VT","Football",38,97,2003
"14066","2003/2004","VT","Golf",110,613,2003
"14067","2003/2004","VT","Gymnastics",114,20,2003
"14068","2003/2004","VT","Heptathlon",3,0,2003
"14069","2003/2004","VT","Ice/Field Hockey",388,520,2003
"14070","2003/2004","VT","Lacrosse",765,881,2003
"14071","2003/2004","VT","Skiing",175,260,2003
"14072","2003/2004","VT","Skiing",254,241,2003
"14073","2003/2004","VT","Snowboarding",63,120,2003
"14074","2003/2004","VT","Soccer",2130,2204,2003
"14075","2003/2004","VT","Base/Softball",1357,68,2003
"14076","2003/2004","VT","Base/Softball",82,0,2003
"14077","2003/2004","VT","Swimming & Diving",2,2,2003
"14078","2003/2004","VT","Team Tennis",85,59,2003
"14079","2003/2004","VT","Tennis",369,245,2003
"14080","2003/2004","VT","Track and Field",178,173,2003
"14081","2003/2004","VT","Track and Field",1033,964,2003
"14082","2003/2004","VT","Volleyball",8,0,2003
"14083","2003/2004","VT","Weight Lifting",20,50,2003
"14084","2003/2004","VT","Wrestling",9,234,2003
"14085","2003/2004","VA","Basketball",7804,9575,2003
"14086","2003/2004","VA","Competitive Spirit Squad",9999,320,2003
"14087","2003/2004","VA","Crew",868,745,2003
"14088","2003/2004","VA","Cross Country",3507,4290,2003
"14089","2003/2004","VA","Ice/Field Hockey",3833,0,2003
"14090","2003/2004","VA","Football",385,22758,2003
"14091","2003/2004","VA","Golf",196,2831,2003
"14092","2003/2004","VA","Gymnastics",809,62,2003
"14093","2003/2004","VA","Lacrosse",1804,2692,2003
"14094","2003/2004","VA","Soccer",7109,8112,2003
"14095","2003/2004","VA","Base/Softball",7548,0,2003
"14096","2003/2004","VA","Swimming & Diving",3505,2460,2003
"14097","2003/2004","VA","Tennis",3313,2797,2003
"14098","2003/2004","VA","Track and Field",4281,5257,2003
"14099","2003/2004","VA","Track and Field",7650,9205,2003
"14100","2003/2004","VA","Volleyball",6241,1162,2003
"14101","2003/2004","VA","Wrestling",41,6000,2003
"14102","2003/2004","WA","Base/Softball",131,10699,2003
"14103","2003/2004","WA","Basketball",9696,11713,2003
"14104","2003/2004","WA","Bowling",796,0,2003
"14105","2003/2004","WA","Cross Country",3350,5030,2003
"14106","2003/2004","WA","Football",80,20846,2003
"14107","2003/2004","WA","Golf",2190,3689,2003
"14108","2003/2004","WA","Gymnastics",1556,0,2003
"14109","2003/2004","WA","Soccer",8880,9204,2003
"14110","2003/2004","WA","Base/Softball",8790,0,2003
"14111","2003/2004","WA","Swimming & Diving",4538,2618,2003
"14112","2003/2004","WA","Tennis",7304,4839,2003
"14113","2003/2004","WA","Track and Field",9058,11602,2003
"14114","2003/2004","WA","Volleyball",10448,0,2003
"14115","2003/2004","WA","Wrestling",137,7785,2003
"14116","2003/2004","WV","Basketball",2145,2909,2003
"14117","2003/2004","WV","Bowling",5,12,2003
"14118","2003/2004","WV","Competitive Spirit Squad",1859,33,2003
"14119","2003/2004","WV","Cross Country",581,647,2003
"14120","2003/2004","WV","Football",4,5394,2003
"14121","2003/2004","WV","Golf",34,849,2003
"14122","2003/2004","WV","Soccer",1197,1444,2003
"14123","2003/2004","WV","Base/Softball",2218,0,2003
"14124","2003/2004","WV","Swimming & Diving",508,244,2003
"14125","2003/2004","WV","Tennis",784,608,2003
"14126","2003/2004","WV","Track and Field",1959,2231,2003
"14127","2003/2004","WV","Volleyball",1948,0,2003
"14128","2003/2004","WV","Wrestling",14,1213,2003
"14129","2003/2004","WI","Basketball",13013,15644,2003
"14130","2003/2004","WI","Cross Country",5247,5315,2003
"14131","2003/2004","WI","Golf",1621,6901,2003
"14132","2003/2004","WI","Gymnastics",1395,0,2003
"14133","2003/2004","WI","Ice/Field Hockey",128,2237,2003
"14134","2003/2004","WI","Soccer",8695,9310,2003
"14135","2003/2004","WI","Base/Softball",11983,0,2003
"14136","2003/2004","WI","Swimming & Diving",4090,2084,2003
"14137","2003/2004","WI","Tennis",5446,4451,2003
"14138","2003/2004","WI","Track and Field",10906,13173,2003
"14139","2003/2004","WI","Volleyball",16189,1335,2003
"14140","2003/2004","WY","Basketball",1620,1826,2003
"14141","2003/2004","WY","Cross Country",309,417,2003
"14142","2003/2004","WY","Golf",194,718,2003
"14143","2003/2004","WY","Gymnastics",79,0,2003
"14144","2003/2004","WY","Skiing",44,70,2003
"14145","2003/2004","WY","Skiing",114,111,2003
"14146","2003/2004","WY","Soccer",585,663,2003
"14147","2003/2004","WY","Swimming & Diving",588,407,2003
"14148","2003/2004","WY","Tennis",312,265,2003
"14149","2003/2004","WY","Track and Field",187,231,2003
"14150","2003/2004","WY","Track and Field",1312,1573,2003
"14151","2003/2004","WY","Volleyball",1672,0,2003
"14152","2002/2003","AL","Basketball",5358,11555,2002
"14153","2002/2003","AL","Cross Country",765,908,2002
"14154","2002/2003","AL","Golf",206,1181,2002
"14155","2002/2003","AL","Heptathlon",36,0,2002
"14156","2002/2003","AL","Soccer",2769,3326,2002
"14157","2002/2003","AL","Base/Softball",6016,0,2002
"14158","2002/2003","AL","Swimming & Diving",292,267,2002
"14159","2002/2003","AL","Tennis",1528,1480,2002
"14160","2002/2003","AL","Track and Field",439,575,2002
"14161","2002/2003","AL","Track and Field",4290,6233,2002
"14162","2002/2003","AL","Volleyball",4928,0,2002
"14163","2002/2003","AK","Base/Softball",34,582,2002
"14164","2002/2003","AK","Basketball",2003,2331,2002
"14165","2002/2003","AK","Bowling",71,65,2002
"14166","2002/2003","AK","Competitive Spirit Squad",588,71,2002
"14167","2002/2003","AK","Cross Country",810,1014,2002
"14168","2002/2003","AK","Football",11,1724,2002
"14169","2002/2003","AK","Gymnastics",154,0,2002
"14170","2002/2003","AK","Ice/Field Hockey",75,643,2002
"14171","2002/2003","AK","Riflery",85,191,2002
"14172","2002/2003","AK","Skiing",375,380,2002
"14173","2002/2003","AK","Soccer",866,829,2002
"14174","2002/2003","AK","Base/Softball",626,13,2002
"14175","2002/2003","AK","Swimming & Diving",495,325,2002
"14176","2002/2003","AK","Tennis",159,126,2002
"14177","2002/2003","AK","Track and Field",842,1081,2002
"14178","2002/2003","AK","Volleyball",1887,289,2002
"14179","2002/2003","AK","Wrestling",68,1165,2002
"14180","2002/2003","AZ","Badminton",836,0,2002
"14181","2002/2003","AZ","Base/Softball",15,7573,2002
"14182","2002/2003","AZ","Basketball",6366,7447,2002
"14183","2002/2003","AZ","Competitive Spirit Squad",3661,160,2002
"14184","2002/2003","AZ","Cross Country",1829,2359,2002
"14185","2002/2003","AZ","Football",47,16264,2002
"14186","2002/2003","AZ","Football",3,480,2002
"14187","2002/2003","AZ","Golf",719,1813,2002
"14188","2002/2003","AZ","Soccer",4180,5008,2002
"14189","2002/2003","AZ","Base/Softball",6096,0,2002
"14190","2002/2003","AZ","Swimming & Diving",2338,1523,2002
"14191","2002/2003","AZ","Tennis",2212,1807,2002
"14192","2002/2003","AZ","Track and Field",5072,6803,2002
"14193","2002/2003","AZ","Volleyball",6549,1209,2002
"14194","2002/2003","AZ","Wrestling",86,4806,2002
"14195","2002/2003","AR","Base/Softball",163,3971,2002
"14196","2002/2003","AR","Basketball",4381,5248,2002
"14197","2002/2003","AR","Competitive Spirit Squad",1414,84,2002
"14198","2002/2003","AR","Cross Country",537,617,2002
"14199","2002/2003","AR","Football",159,8109,2002
"14200","2002/2003","AR","Golf",328,1045,2002
"14201","2002/2003","AR","Gymnastics",106,57,2002
"14202","2002/2003","AR","Heptathlon",6,0,2002
"14203","2002/2003","AR","Riflery",6,34,2002
"14204","2002/2003","AR","Rodeo",11,9,2002
"14205","2002/2003","AR","Soccer",839,986,2002
"14206","2002/2003","AR","Base/Softball",2980,278,2002
"14207","2002/2003","AR","Base/Softball",62,0,2002
"14208","2002/2003","AR","Swimming & Diving",238,144,2002
"14209","2002/2003","AR","Tennis",632,640,2002
"14210","2002/2003","AR","Track and Field",307,449,2002
"14211","2002/2003","AR","Track and Field",2606,3494,2002
"14212","2002/2003","AR","Volleyball",969,0,2002
"14213","2002/2003","AR","Weight Lifting",1,922,2002
"14214","2002/2003","CA","Badminton",4929,3627,2002
"14215","2002/2003","CA","Base/Softball",662,41392,2002
"14216","2002/2003","CA","Basketball",33912,41784,2002
"14217","2002/2003","CA","Bowling",54,174,2002
"14218","2002/2003","CA","Canoeing",14,6,2002
"14219","2002/2003","CA","Competitive Spirit Squad",12921,669,2002
"14220","2002/2003","CA","Crew",264,248,2002
"14221","2002/2003","CA","Cross Country",16618,20465,2002
"14222","2002/2003","CA","Decathlon",22,31,2002
"14223","2002/2003","CA","Equestrian",40,6,2002
"14224","2002/2003","CA","Fencing",127,144,2002
"14225","2002/2003","CA","Ice/Field Hockey",2170,36,2002
"14226","2002/2003","CA","Football",236,95504,2002
"14227","2002/2003","CA","Football",3,96,2002
"14228","2002/2003","CA","Golf",5547,11764,2002
"14229","2002/2003","CA","Gymnastics",859,91,2002
"14230","2002/2003","CA","Heptathlon",11,0,2002
"14231","2002/2003","CA","Judo",2,4,2002
"14232","2002/2003","CA","Lacrosse",1834,2240,2002
"14233","2002/2003","CA","Other 1:",726,1103,2002
"14234","2002/2003","CA","Riflery",40,56,2002
"14235","2002/2003","CA","Skiing",190,366,2002
"14236","2002/2003","CA","Skiing",32,48,2002
"14237","2002/2003","CA","Soccer",35380,38501,2002
"14238","2002/2003","CA","Base/Softball",29179,863,2002
"14239","2002/2003","CA","Base/Softball",939,100,2002
"14240","2002/2003","CA","Swimming & Diving",23255,15731,2002
"14241","2002/2003","CA","Tennis",19496,16716,2002
"14242","2002/2003","CA","Track and Field",34378,41349,2002
"14243","2002/2003","CA","Volleyball",32756,12156,2002
"14244","2002/2003","CA","Water Polo",12185,11500,2002
"14245","2002/2003","CA","Weight Lifting",487,1920,2002
"14246","2002/2003","CA","Wrestling",957,22007,2002
"14247","2002/2003","CO","Base/Softball",25,8110,2002
"14248","2002/2003","CO","Basketball",7740,8496,2002
"14249","2002/2003","CO","Competitive Spirit Squad",5351,199,2002
"14250","2002/2003","CO","Cross Country",2941,2909,2002
"14251","2002/2003","CO","Ice/Field Hockey",490,0,2002
"14252","2002/2003","CO","Football",39,12356,2002
"14253","2002/2003","CO","Golf",1188,2199,2002
"14254","2002/2003","CO","Gymnastics",1428,0,2002
"14255","2002/2003","CO","Lacrosse",1428,1925,2002
"14256","2002/2003","CO","Skiing",150,200,2002
"14257","2002/2003","CO","Skiing",150,206,2002
"14258","2002/2003","CO","Soccer",5584,5624,2002
"14259","2002/2003","CO","Base/Softball",3587,0,2002
"14260","2002/2003","CO","Swimming & Diving",3696,1684,2002
"14261","2002/2003","CO","Tennis",3749,3707,2002
"14262","2002/2003","CO","Track and Field",6703,7979,2002
"14263","2002/2003","CO","Volleyball",9120,0,2002
"14264","2002/2003","CO","Wrestling",23,5078,2002
"14265","2002/2003","CT","Base/Softball",3,5733,2002
"14266","2002/2003","CT","Basketball",4263,5050,2002
"14267","2002/2003","CT","Competitive Spirit Squad",1800,579,2002
"14268","2002/2003","CT","Cross Country",2277,2971,2002
"14269","2002/2003","CT","Ice/Field Hockey",3245,0,2002
"14270","2002/2003","CT","Football",13,9074,2002
"14271","2002/2003","CT","Golf",321,2000,2002
"14272","2002/2003","CT","Gymnastics",509,0,2002
"14273","2002/2003","CT","Ice/Field Hockey",16,1691,2002
"14274","2002/2003","CT","Lacrosse",36,3015,2002
"14275","2002/2003","CT","Soccer",5188,6598,2002
"14276","2002/2003","CT","Base/Softball",4605,0,2002
"14277","2002/2003","CT","Swimming & Diving",3043,1853,2002
"14278","2002/2003","CT","Team Tennis",2704,0,2002
"14279","2002/2003","CT","Track and Field",3556,3625,2002
"14280","2002/2003","CT","Track and Field",5498,5945,2002
"14281","2002/2003","CT","Volleyball",3744,650,2002
"14282","2002/2003","CT","Wrestling",72,2658,2002
"14283","2002/2003","DC","Basketball",260,333,2002
"14284","2002/2003","DC","Competitive Spirit Squad",275,0,2002
"14285","2002/2003","DC","Crew",45,25,2002
"14286","2002/2003","DC","Cross Country",140,120,2002
"14287","2002/2003","DC","Golf",30,45,2002
"14288","2002/2003","DC","Lacrosse",63,0,2002
"14289","2002/2003","DC","Skiing",275,150,2002
"14290","2002/2003","DC","Soccer",98,155,2002
"14291","2002/2003","DC","Base/Softball",166,0,2002
"14292","2002/2003","DC","Swimming & Diving",46,36,2002
"14293","2002/2003","DC","Tennis",52,66,2002
"14294","2002/2003","DC","Track and Field",96,134,2002
"14295","2002/2003","DC","Track and Field",248,269,2002
"14296","2002/2003","DC","Volleyball",164,0,2002
"14297","2002/2003","DE","Basketball",973,1469,2002
"14298","2002/2003","DE","Crew",39,45,2002
"14299","2002/2003","DE","Cross Country",557,737,2002
"14300","2002/2003","DE","Ice/Field Hockey",1372,0,2002
"14301","2002/2003","DE","Football",4,2536,2002
"14302","2002/2003","DE","Golf",41,406,2002
"14303","2002/2003","DE","Lacrosse",624,1109,2002
"14304","2002/2003","DE","Soccer",1228,1556,2002
"14305","2002/2003","DE","Base/Softball",1016,0,2002
"14306","2002/2003","DE","Swimming & Diving",581,398,2002
"14307","2002/2003","DE","Tennis",514,436,2002
"14308","2002/2003","DE","Track and Field",500,547,2002
"14309","2002/2003","DE","Track and Field",864,1109,2002
"14310","2002/2003","DE","Volleyball",1079,121,2002
"14311","2002/2003","DE","Weight Lifting",40,51,2002
"14312","2002/2003","DE","Wrestling",3,953,2002
"14313","2002/2003","FL","Badminton",202,188,2002
"14314","2002/2003","FL","Base/Softball",5,13640,2002
"14315","2002/2003","FL","Basketball",11353,14386,2002
"14316","2002/2003","FL","Bowling",1452,923,2002
"14317","2002/2003","FL","Crew",366,335,2002
"14318","2002/2003","FL","Cross Country",5344,5435,2002
"14319","2002/2003","FL","Flag Football",3855,0,2002
"14320","2002/2003","FL","Football",13,35967,2002
"14321","2002/2003","FL","Golf",2164,4087,2002
"14322","2002/2003","FL","Lacrosse",1052,1243,2002
"14323","2002/2003","FL","Other 1:",53,38,2002
"14324","2002/2003","FL","Rythmic Gymnastics",222,0,2002
"14325","2002/2003","FL","Soccer",12234,12767,2002
"14326","2002/2003","FL","Base/Softball",10489,0,2002
"14327","2002/2003","FL","Base/Softball",916,0,2002
"14328","2002/2003","FL","Swimming & Diving",7417,4366,2002
"14329","2002/2003","FL","Tennis",4239,3680,2002
"14330","2002/2003","FL","Track and Field",10724,12589,2002
"14331","2002/2003","FL","Volleyball",12196,1521,2002
"14332","2002/2003","FL","Water Polo",918,637,2002
"14333","2002/2003","FL","Weight Lifting",2401,5216,2002
"14334","2002/2003","FL","Wrestling",234,7541,2002
"14335","2002/2003","GA","Base/Softball",50,11460,2002
"14336","2002/2003","GA","Basketball",9258,11289,2002
"14337","2002/2003","GA","Competitive Spirit Squad",4305,117,2002
"14338","2002/2003","GA","Cross Country",3690,4795,2002
"14339","2002/2003","GA","Football",52,25402,2002
"14340","2002/2003","GA","Golf",1113,2961,2002
"14341","2002/2003","GA","Gymnastics",398,0,2002
"14342","2002/2003","GA","Lacrosse",581,906,2002
"14343","2002/2003","GA","Riflery",335,795,2002
"14344","2002/2003","GA","Soccer",7329,7750,2002
"14345","2002/2003","GA","Base/Softball",6351,0,2002
"14346","2002/2003","GA","Base/Softball",1870,0,2002
"14347","2002/2003","GA","Swimming & Diving",2738,1823,2002
"14348","2002/2003","GA","Team Tennis",4154,3424,2002
"14349","2002/2003","GA","Track and Field",8193,9307,2002
"14350","2002/2003","GA","Volleyball",4300,0,2002
"14351","2002/2003","GA","Weight Lifting",405,2398,2002
"14352","2002/2003","GA","Wrestling",123,6237,2002
"14353","2002/2003","HI","Adapted Bowling",4,2,2002
"14354","2002/2003","HI","Base/Softball",8,1602,2002
"14355","2002/2003","HI","Basketball",1594,1740,2002
"14356","2002/2003","HI","Bowling",478,491,2002
"14357","2002/2003","HI","Canoeing",1163,1001,2002
"14358","2002/2003","HI","Competitive Spirit Squad",724,47,2002
"14359","2002/2003","HI","Cross Country",794,779,2002
"14360","2002/2003","HI","Equestrian",8,6,2002
"14361","2002/2003","HI","Football",13,4269,2002
"14362","2002/2003","HI","Golf",178,555,2002
"14363","2002/2003","HI","Gymnastics",36,19,2002
"14364","2002/2003","HI","Judo",281,499,2002
"14365","2002/2003","HI","Other 1:",105,94,2002
"14366","2002/2003","HI","Other 2:",23,13,2002
"14367","2002/2003","HI","Riflery",357,464,2002
"14368","2002/2003","HI","Soccer",1653,1550,2002
"14369","2002/2003","HI","Base/Softball",971,0,2002
"14370","2002/2003","HI","Soft Tennis",137,113,2002
"14371","2002/2003","HI","Swimming & Diving",664,403,2002
"14372","2002/2003","HI","Team Tennis",24,5,2002
"14373","2002/2003","HI","Tennis",945,705,2002
"14374","2002/2003","HI","Track and Field",1292,1805,2002
"14375","2002/2003","HI","Volleyball",1768,1093,2002
"14376","2002/2003","HI","Water Polo",333,131,2002
"14377","2002/2003","HI","Weight Lifting",3,15,2002
"14378","2002/2003","HI","Wrestling",285,974,2002
"14379","2002/2003","ID","Basketball",3653,4202,2002
"14380","2002/2003","ID","Bowling",56,56,2002
"14381","2002/2003","ID","Competitive Spirit Squad",1628,30,2002
"14382","2002/2003","ID","Cross Country",786,1003,2002
"14383","2002/2003","ID","Equestrian",2,0,2002
"14384","2002/2003","ID","Football",2,6882,2002
"14385","2002/2003","ID","Golf",544,1045,2002
"14386","2002/2003","ID","Gymnastics",16,2,2002
"14387","2002/2003","ID","Judo",8,50,2002
"14388","2002/2003","ID","Lacrosse",8,102,2002
"14389","2002/2003","ID","Rodeo",20,171,2002
"14390","2002/2003","ID","Skiing",35,55,2002
"14391","2002/2003","ID","Snowboarding",6,10,2002
"14392","2002/2003","ID","Soccer",1516,1737,2002
"14393","2002/2003","ID","Base/Softball",2082,0,2002
"14394","2002/2003","ID","Base/Softball",159,0,2002
"14395","2002/2003","ID","Swimming & Diving",73,42,2002
"14396","2002/2003","ID","Tennis",1061,951,2002
"14397","2002/2003","ID","Track and Field",2741,3453,2002
"14398","2002/2003","ID","Volleyball",3995,0,2002
"14399","2002/2003","ID","Wrestling",16,2269,2002
"14400","2002/2003","IL","Badminton",2500,0,2002
"14401","2002/2003","IL","Basketball",18918,25038,2002
"14402","2002/2003","IL","Bowling",3051,1701,2002
"14403","2002/2003","IL","Cross Country",7319,8455,2002
"14404","2002/2003","IL","Golf",3222,8993,2002
"14405","2002/2003","IL","Gymnastics",1916,1299,2002
"14406","2002/2003","IL","Soccer",14042,17082,2002
"14407","2002/2003","IL","Base/Softball",17878,0,2002
"14408","2002/2003","IL","Swimming & Diving",6972,5262,2002
"14409","2002/2003","IL","Tennis",8609,7533,2002
"14410","2002/2003","IL","Track and Field",16624,24230,2002
"14411","2002/2003","IL","Volleyball",22243,5640,2002
"14412","2002/2003","IL","Water Polo",1482,1657,2002
"14413","2002/2003","IN","Basketball",9539,11541,2002
"14414","2002/2003","IN","Cross Country",3981,4968,2002
"14415","2002/2003","IN","Golf",2352,4303,2002
"14416","2002/2003","IN","Gymnastics",1046,0,2002
"14417","2002/2003","IN","Soccer",5737,7349,2002
"14418","2002/2003","IN","Base/Softball",8750,0,2002
"14419","2002/2003","IN","Swimming & Diving",4653,3802,2002
"14420","2002/2003","IN","Tennis",5441,4508,2002
"14421","2002/2003","IN","Track and Field",9070,10913,2002
"14422","2002/2003","IN","Volleyball",9607,0,2002
"14423","2002/2003","IA","Basketball",8981,12052,2002
"14424","2002/2003","IA","Bowling",671,936,2002
"14425","2002/2003","IA","Competitive Spirit Squad",2548,0,2002
"14426","2002/2003","IA","Cross Country",3651,4171,2002
"14427","2002/2003","IA","Football",60,20068,2002
"14428","2002/2003","IA","Football",11,1123,2002
"14429","2002/2003","IA","Golf",3916,6815,2002
"14430","2002/2003","IA","Rodeo",29,28,2002
"14431","2002/2003","IA","Soccer",3590,5068,2002
"14432","2002/2003","IA","Base/Softball",8523,0,2002
"14433","2002/2003","IA","Swimming & Diving",1696,1082,2002
"14434","2002/2003","IA","Tennis",3292,2152,2002
"14435","2002/2003","IA","Track and Field",9253,10990,2002
"14436","2002/2003","IA","Volleyball",12862,0,2002
"14437","2002/2003","IA","Wrestling",29,6490,2002
"14438","2002/2003","KS","Basketball",8080,10096,2002
"14439","2002/2003","KS","Cross Country",2386,2801,2002
"14440","2002/2003","KS","Football",59,14098,2002
"14441","2002/2003","KS","Football",21,2392,2002
"14442","2002/2003","KS","Golf",1029,3695,2002
"14443","2002/2003","KS","Gymnastics",265,11,2002
"14444","2002/2003","KS","Soccer",2345,3480,2002
"14445","2002/2003","KS","Base/Softball",4665,0,2002
"14446","2002/2003","KS","Swimming & Diving",1460,870,2002
"14447","2002/2003","KS","Tennis",2264,1893,2002
"14448","2002/2003","KS","Track and Field",6370,8689,2002
"14449","2002/2003","KS","Volleyball",9359,74,2002
"14450","2002/2003","KS","Wrestling",63,4812,2002
"14451","2002/2003","KY","Base/Softball",3,7624,2002
"14452","2002/2003","KY","Basketball",5950,7350,2002
"14453","2002/2003","KY","Bowling",14,75,2002
"14454","2002/2003","KY","Competitive Spirit Squad",5444,225,2002
"14455","2002/2003","KY","Crew",91,5,2002
"14456","2002/2003","KY","Cross Country",2427,2888,2002
"14457","2002/2003","KY","Football",21,11934,2002
"14458","2002/2003","KY","Golf",1379,2722,2002
"14459","2002/2003","KY","Gymnastics",3,0,2002
"14460","2002/2003","KY","Riflery",38,81,2002
"14461","2002/2003","KY","Soccer",3930,4580,2002
"14462","2002/2003","KY","Base/Softball",5674,0,2002
"14463","2002/2003","KY","Base/Softball",420,0,2002
"14464","2002/2003","KY","Swimming & Diving",1831,1058,2002
"14465","2002/2003","KY","Tennis",2483,2163,2002
"14466","2002/2003","KY","Track and Field",4560,5258,2002
"14467","2002/2003","KY","Volleyball",4584,0,2002
"14468","2002/2003","KY","Wrestling",17,1561,2002
"14469","2002/2003","LA","Basketball",9401,12241,2002
"14470","2002/2003","LA","Cross Country",1225,3367,2002
"14471","2002/2003","LA","Golf",320,1142,2002
"14472","2002/2003","LA","Gymnastics",217,55,2002
"14473","2002/2003","LA","Soccer",1650,1920,2002
"14474","2002/2003","LA","Base/Softball",5430,0,2002
"14475","2002/2003","LA","Swimming & Diving",460,945,2002
"14476","2002/2003","LA","Tennis",1044,1311,2002
"14477","2002/2003","LA","Track and Field",821,1123,2002
"14478","2002/2003","LA","Track and Field",4056,8597,2002
"14479","2002/2003","LA","Volleyball",4038,0,2002
"14480","2002/2003","ME","Base/Softball",2,3485,2002
"14481","2002/2003","ME","Basketball",3581,4168,2002
"14482","2002/2003","ME","Bowling",23,61,2002
"14483","2002/2003","ME","Competitive Spirit Squad",1864,40,2002
"14484","2002/2003","ME","Crew",20,37,2002
"14485","2002/2003","ME","Cross Country",951,1239,2002
"14486","2002/2003","ME","Equestrian",24,8,2002
"14487","2002/2003","ME","Ice/Field Hockey",3025,0,2002
"14488","2002/2003","ME","Football",9,3659,2002
"14489","2002/2003","ME","Golf",68,1430,2002
"14490","2002/2003","ME","Gymnastics",121,10,2002
"14491","2002/2003","ME","Ice/Field Hockey",117,1666,2002
"14492","2002/2003","ME","Lacrosse",1046,1546,2002
"14493","2002/2003","ME","Riflery",16,55,2002
"14494","2002/2003","ME","Rythmic Gymnastics",4,0,2002
"14495","2002/2003","ME","Skiing",295,490,2002
"14496","2002/2003","ME","Skiing",305,387,2002
"14497","2002/2003","ME","Snowboarding",20,74,2002
"14498","2002/2003","ME","Soccer",3764,4238,2002
"14499","2002/2003","ME","Base/Softball",3175,0,2002
"14500","2002/2003","ME","Swimming & Diving",962,547,2002
"14501","2002/2003","ME","Team Tennis",387,347,2002
"14502","2002/2003","ME","Tennis",1223,997,2002
"14503","2002/2003","ME","Track and Field",976,1185,2002
"14504","2002/2003","ME","Track and Field",2297,2599,2002
"14505","2002/2003","ME","Volleyball",397,136,2002
"14506","2002/2003","ME","Weight Lifting",126,242,2002
"14507","2002/2003","ME","Wrestling",54,1027,2002
"14508","2002/2003","MD","Badminton",437,161,2002
"14509","2002/2003","MD","Base/Softball",1,5233,2002
"14510","2002/2003","MD","Basketball",4469,4901,2002
"14511","2002/2003","MD","Bowling",32,32,2002
"14512","2002/2003","MD","Cross Country",2100,2884,2002
"14513","2002/2003","MD","Ice/Field Hockey",4042,0,2002
"14514","2002/2003","MD","Golf",173,1334,2002
"14515","2002/2003","MD","Gymnastics",81,33,2002
"14516","2002/2003","MD","Lacrosse",4003,4755,2002
"14517","2002/2003","MD","Soccer",5223,5882,2002
"14518","2002/2003","MD","Base/Softball",4720,0,2002
"14519","2002/2003","MD","Swimming & Diving",1875,1540,2002
"14520","2002/2003","MD","Tennis",2207,1896,2002
"14521","2002/2003","MD","Track and Field",3577,3989,2002
"14522","2002/2003","MD","Track and Field",4435,5388,2002
"14523","2002/2003","MD","Volleyball",4352,542,2002
"14524","2002/2003","MD","Wrestling",63,4396,2002
"14525","2002/2003","MA","Base/Softball",4,12322,2002
"14526","2002/2003","MA","Basketball",10577,12078,2002
"14527","2002/2003","MA","Cross Country",3968,4891,2002
"14528","2002/2003","MA","Ice/Field Hockey",8819,20,2002
"14529","2002/2003","MA","Football",25,19807,2002
"14530","2002/2003","MA","Golf",400,4195,2002
"14531","2002/2003","MA","Gymnastics",1312,212,2002
"14532","2002/2003","MA","Ice/Field Hockey",1361,7409,2002
"14533","2002/2003","MA","Lacrosse",4147,5917,2002
"14534","2002/2003","MA","Skiing",885,1131,2002
"14535","2002/2003","MA","Skiing",334,326,2002
"14536","2002/2003","MA","Soccer",12173,12531,2002
"14537","2002/2003","MA","Base/Softball",10541,0,2002
"14538","2002/2003","MA","Swimming & Diving",3976,1970,2002
"14539","2002/2003","MA","Tennis",4315,3368,2002
"14540","2002/2003","MA","Track and Field",6765,7055,2002
"14541","2002/2003","MA","Track and Field",10763,10788,2002
"14542","2002/2003","MA","Volleyball",5566,1831,2002
"14543","2002/2003","MA","Wrestling",39,3817,2002
"14544","2002/2003","MI","Basketball",20837,23922,2002
"14545","2002/2003","MI","Bowling",906,1177,2002
"14546","2002/2003","MI","Competitive Spirit Squad",4165,0,2002
"14547","2002/2003","MI","Crew",436,456,2002
"14548","2002/2003","MI","Cross Country",6630,7465,2002
"14549","2002/2003","MI","Equestrian",496,46,2002
"14550","2002/2003","MI","Ice/Field Hockey",664,0,2002
"14551","2002/2003","MI","Golf",3980,8323,2002
"14552","2002/2003","MI","Gymnastics",1108,47,2002
"14553","2002/2003","MI","Ice/Field Hockey",206,3494,2002
"14554","2002/2003","MI","Lacrosse",1101,1911,2002
"14555","2002/2003","MI","Riflery",16,22,2002
"14556","2002/2003","MI","Skiing",789,1045,2002
"14557","2002/2003","MI","Skiing",31,35,2002
"14558","2002/2003","MI","Soccer",13608,14416,2002
"14559","2002/2003","MI","Base/Softball",17180,167,2002
"14560","2002/2003","MI","Swimming & Diving",6647,4523,2002
"14561","2002/2003","MI","Tennis",9234,8299,2002
"14562","2002/2003","MI","Track and Field",538,544,2002
"14563","2002/2003","MI","Track and Field",18345,22549,2002
"14564","2002/2003","MI","Volleyball",21678,314,2002
"14565","2002/2003","MI","Water Polo",552,460,2002
"14566","2002/2003","MI","Weight Lifting",325,701,2002
"14567","2002/2003","MN","Adapted Bowling",101,90,2002
"14568","2002/2003","MN","Adapted Floor Hockey",162,349,2002
"14569","2002/2003","MN","Adapted Soccer",192,320,2002
"14570","2002/2003","MN","Adapted Base/Softball",214,288,2002
"14571","2002/2003","MN","Badminton",593,0,2002
"14572","2002/2003","MN","Base/Softball",23,13830,2002
